Date,Open,High,Low,Settle,Change,Wave,Volume,Prev. Day Open Interest
2020-02-24,1.6412,1.6467,1.5836,1.6132,-0.0734,1.6084,6956.0,3387.0
2020-02-25,1.6203,1.6287,1.5621,1.5685,-0.0447,1.597,9283.0,2631.0
2020-02-26,1.5667,1.5667,1.4855,1.4994,-0.0691,1.5277,5250.0,2656.0
2020-02-27,1.4862,1.4977,1.4385,1.4871,-0.0103,1.4644,96132.0,3644.0
2020-02-28,1.4689,1.4906,1.4407,1.4773,-0.0098,1.4665,49229.0,3618.0
2020-03-02,1.4606,1.5481,1.4567,1.5287,0.0514,1.501,46481.0,4263.0
2020-03-03,1.5745,1.5748,1.515,1.533,0.0043,1.5445,54722.0,4095.0
2020-03-04,1.5448,1.5629,1.5225,1.5332,0.0002,1.5425,49438.0,3542.0
2020-03-05,1.55,1.5551,1.4821,1.4885,-0.0447,1.5135,57827.0,3324.0
2020-03-06,1.4972,1.4972,1.3784,1.3852,-0.1033,1.4154,62860.0,3466.0
2020-03-09,1.1722,1.2215,1.0799,1.1629,-0.2223,1.1801,92900.0,3435.0
2020-03-10,1.2142,1.2767,1.1973,1.2499,0.087,1.2412,86920.0,3356.0
2020-03-11,1.2465,1.2932,1.2214,1.238,-0.0119,1.243,49214.0,3244.0
2020-03-12,1.2377,1.2447,1.1196,1.1598,-0.0782,1.146,50522.0,3163.0
2020-03-13,1.1388,1.2076,1.1289,1.1374,-0.0224,1.1645,20419.0,3125.0
2020-03-16,1.149,1.149,1.0253,1.0466,-0.0908,1.0529,16029.0,3364.0
2020-03-17,1.0532,1.0824,1.0314,1.0357,-0.0109,1.0535,14123.0,3664.0
2020-03-18,1.0339,1.0539,0.9352,0.9542,-0.0815,0.981,17027.0,3646.0
2020-03-19,0.9976,1.0567,0.9508,1.0417,0.0875,0.9935,7867.0,3737.0
2020-03-20,1.0448,1.1081,1.0037,1.0063,-0.0354,1.0371,4179.0,3605.0
2020-03-23,0.9995,1.0419,0.971,1.0161,0.0098,1.0064,4348.0,3603.0
2020-03-24,1.038,1.0914,1.038,1.0803,0.0642,1.0751,2745.0,3199.0
2020-03-25,1.096,1.1038,1.0544,1.0978,0.0175,1.0823,2873.0,2941.0
2020-03-26,1.0857,1.0857,1.0467,1.0503,-0.0475,1.063,1312.0,2930.0
2020-03-27,1.0717,1.073,1.0478,1.0685,0.0182,1.0639,1249.0,2324.0
2020-03-30,1.049,1.0514,0.9865,1.0153,-0.0532,1.0092,19870.0,4421.0
2020-03-31,1.0248,1.0435,0.9888,1.0015,-0.0138,1.0121,16053.0,4300.0
2020-04-01,0.9948,0.9997,0.9307,0.9323,-0.0692,0.9564,27796.0,4078.0
2020-04-02,0.944,1.1291,0.9402,0.9951,0.0628,1.0063,11385.0,4133.0
2020-04-03,1.0125,1.1098,0.9906,1.0706,0.0755,1.0626,19658.0,4489.0
2020-04-06,1.029,1.0892,1.029,1.0457,-0.0249,1.0612,16503.0,4500.0
2020-04-07,1.0713,1.0759,1.023,1.0275,-0.0182,1.0511,10985.0,4221.0
2020-04-08,1.0342,1.0427,1.003,1.0107,-0.0168,1.0237,23778.0,4153.0
2020-04-09,1.0305,1.0756,0.9695,0.9726,-0.0381,1.0132,45691.0,4252.0
2020-04-13,1.0101,1.0141,0.9402,0.9946,,0.9903,26403.0,4145.0
2020-04-14,1.0066,1.0142,0.9365,0.9442,-0.0504,0.9671,35083.0,3712.0
2020-04-15,0.955,0.9555,0.8977,0.9138,-0.0304,0.9166,29009.0,4136.0
2020-04-16,0.9386,0.9624,0.9074,0.9463,0.0325,0.9432,21982.0,4085.0
2020-04-17,0.9728,0.974,0.9416,0.9563,0.01,0.9572,23854.0,4014.0
2020-04-20,0.9517,0.9533,0.8863,0.8878,-0.0685,0.9154,3628.0,3972.0
2020-04-21,0.904,0.921,0.7125,0.7269,-0.1609,0.7688,2924.0,4201.0
2020-04-22,0.7694,0.7903,0.6736,0.7311,0.0042,0.7493,1606.0,3166.0
2020-04-23,0.7363,0.8092,0.7265,0.7345,0.0034,0.7773,1880.0,3121.0
2020-04-24,0.7104,0.7211,0.6376,0.6467,-0.0878,0.6663,1163.0,2515.0
2020-04-27,0.6673,0.6673,0.592,0.6104,-0.0363,0.6382,1052.0,2170.0
2020-04-28,0.6072,0.6411,0.5825,0.6308,0.0204,0.6245,493.0,1953.0
2020-04-29,0.7204,0.8031,0.7088,0.777,0.0662,0.7807,21821.0,8059.0
2020-04-30,0.819,0.8676,0.7851,0.8331,0.0561,0.8327,17662.0,7485.0
2020-05-01,0.8531,0.8602,0.788,0.7961,-0.037,0.8123,27130.0,7248.0
2020-05-04,0.7914,0.8285,0.7777,0.8031,0.007,0.7984,20019.0,7062.0
2020-05-05,0.8261,0.9068,0.8261,0.896,0.0929,0.8773,33719.0,7254.0
2020-05-06,0.8937,0.9064,0.8029,0.824,-0.072,0.8366,34409.0,7177.0
2020-05-07,0.825,0.8856,0.8125,0.8371,0.0131,0.8592,22776.0,6861.0
2020-05-08,0.8493,0.9042,0.8323,0.8993,0.0622,0.8686,35031.0,6945.0
2020-05-11,0.8994,0.9162,0.866,0.8687,-0.0306,0.8874,30963.0,7206.0
2020-05-12,0.8747,0.892,0.8218,0.8384,-0.0303,0.8572,24351.0,6245.0
2020-05-13,0.8183,0.8622,0.8076,0.8314,-0.007,0.8377,22717.0,6007.0
2020-05-14,0.8349,0.9036,0.8339,0.8948,0.0634,0.8778,27159.0,5926.0
2020-05-15,0.9102,0.9367,0.8979,0.9204,0.0256,0.9183,22255.0,5794.0
2020-05-18,0.9286,1.0286,0.9286,1.0064,0.086,1.0055,14102.0,5428.0
2020-05-19,1.0124,1.0158,0.9665,0.9736,-0.0328,0.9817,3887.0,5249.0
2020-05-20,0.9779,1.0229,0.9779,0.9906,0.017,0.9984,3896.0,4741.0
2020-05-21,0.9922,1.0155,0.9809,0.989,-0.0016,0.9955,1225.0,4920.0
2020-05-22,0.9508,0.9848,0.947,0.982,-0.007,0.9725,1897.0,4091.0
2020-05-25,0.9926,1.0093,0.991,0.9961,0.0141,0.996,68.0,3605.0
2020-05-26,1.0141,1.0301,0.9836,0.9908,-0.0053,0.9972,1527.0,3581.0
2020-05-27,0.9887,0.9917,0.9483,0.9721,-0.0187,0.9778,622.0,3011.0
2020-05-28,0.9916,1.004,0.97,0.9751,-0.0348,0.9856,46638.0,5376.0
2020-05-29,0.9733,1.0415,0.9577,1.0366,0.0615,0.9886,43906.0,5120.0
2020-06-01,1.0357,1.0479,1.0095,1.029,-0.0076,1.0285,24828.0,5025.0
2020-06-02,1.0377,1.0939,1.0374,1.0921,0.0631,1.0807,19767.0,5088.0
2020-06-03,1.1006,1.104,1.0466,1.0646,-0.0275,1.0644,25040.0,4965.0
2020-06-04,1.063,1.0801,1.0473,1.0741,0.0095,1.063,27109.0,5015.0
2020-06-05,1.0753,1.1521,1.0753,1.1506,0.0765,1.1367,29097.0,4805.0
2020-06-08,1.1538,1.1786,1.1178,1.1213,-0.0293,1.1352,20938.0,3989.0
2020-06-09,1.128,1.1589,1.1049,1.1547,0.0334,1.1381,16903.0,3773.0
2020-06-10,1.1398,1.1819,1.1334,1.173,0.0183,1.1544,27826.0,3716.0
2020-06-11,1.1551,1.1551,1.0676,1.088,-0.085,1.095,27230.0,3836.0
2020-06-12,1.0732,1.1246,1.0549,1.1014,0.0134,1.1037,19377.0,3781.0
2020-06-15,1.1005,1.1429,1.08,1.137,0.0356,1.121,13802.0,3591.0
2020-06-16,1.1414,1.1959,1.1341,1.1822,0.0452,1.1762,17729.0,3251.0
